type,link_web,modelo,anio,precio,version,color,combustible,puertas,transmision,motor,tipo de carroceria
0km,https://auto.mercadolibre.com.ar/MLA-1371553193-ds4-performance-line-215-at8-okm-2023-_JM#position=43&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ds Ds4 1.6 Performance Line 215 At8,2023,28.100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1403748214-citroen-berlingo-hdi-okm-precio-no-partner-kangoo-usado-ml-_JM#position=44&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Citroën Berlingo 1.6 Hdi 92 Bussines,2023,6.990.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1344932989-kia-carnival-okm-2023-sx-22-crdi-entrega-inmediata-_JM#position=45&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Kia Carnival 2.2 Crdi Premium Avn,2023,78.990,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1344775792-kia-rio-okm-16-sx-6at-2023-_JM#position=46&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Kia Rio 1.6 Sx 4at,2023,21.890,1.6 Sx 4at,Blanco,Nafta,5,Automática,1.6,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1311359350-volkswagen-amarok-highline-4x2-manual-2023-okm-ent-inmedfv-_JM#position=47&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Volkswagen Amarok 2.0 Cd Tdi 180cv Highline,2023,16.999.345,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1150954106-amarok-highline-4x4-aut-20-tdi-180cv-okm-2022-dk-_JM#position=48&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline At,2022,17.530.000,2.0 Cd Tdi 180cv 4x4 Highline At,Blanco,Diésel,4,Automática,2.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1150947567-taos-comfortline-250-tsi-at-okm-mod-2022-dk-_JM#position=1&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Taos 1.4 250 Tsi Comfortline,2022,13.260.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1381101139-peugeot-3008-gt-pack-okm-2023-ent-inmediata-_JM#position=2&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 3008 1.6 Gt-line Thp Pack Tiptronic,2023,36.700.000,1.6 Gt-line Thp Pack Tiptronic,Gris,Nafta,5,Automática,1.6,SUV
0km,https://auto.mercadolibre.com.ar/MLA-1463820820-peugeot-208-allure-pack-16-am24-okm-2023-ent-inmediata-_JM#position=3&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 208 1.6l Allure Pack,2023,10.600.000,1.6l Allure Pack,Azul,Nafta,5,Manual,1.6,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1462445252-peugeot-208-active-pack-16-okm-2023-ent-inmediata-_JM#position=4&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 208 1.6l Active Pack,2023,9.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1455086076-volkswagen-amarok-extreme-v6-okm-entrega-ya-ac-_JM#position=5&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Amarok 3.0 V6 Extreme,2023,17.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1377619161-ford-maverick-xlt-okm-_JM#position=6&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Ford Maverick 2.0 Ecoboost Cd Xlt At8 2wd,2023,31.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A
