type,link_web,modelo,precio
0km,https://auto.mercadolibre.com.ar/MLA-1394831570-bmw-serie-4-430i-gran-coupe-sport-okm-2023-no-bmw-330-_JM#position=46&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Bmw Serie 4 430i Gran Coupé Okm Linea 2023,98.000
0km,https://auto.mercadolibre.com.ar/MLA-1394792806-volkswagen-amarok-tredline-4x2-manual-okm-23-fb-_JM#position=47&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline,10.088.000
0km,https://auto.mercadolibre.com.ar/MLA-1364910319-renault-kangoo-expss-confort-5-a-16-permuta-okm-financio-l-_JM#position=48&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Renault Kangoo Ii Express Confort 5a 1.6 Sce,6.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1383615992-bmw-430i-coupe-okm-ano-2023-no-okm-bmw-430-bmw-240i-_JM#position=1&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Bmw Serie 4 430i Coupé Sport Linea Nueva 2023,90.000
0km,https://auto.mercadolibre.com.ar/MLA-1363896217-amarok-highline-4x2-mt-gr-okm-_JM#position=2&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 2.0 Cd Tdi 180cv Highline,19.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1375990042-bmw-x3-30e-hibrida-bmw-electrica-okm-2023-no-audi-q5-x3-30-_JM#position=3&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Bmw X3 Bmw X3 Hibrida Enchufable Linea 2023,128.000
0km,https://auto.mercadolibre.com.ar/MLA-1362752933-liquido-ya-208-active-pack-automatico-okm-2023-_JM#position=4&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Peugeot 208 1.6l Active Tiptronic,1.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1362726839-liquido-ya-partner-furgon-nafta-16-1-solo-porton-okm-2023-_JM#position=5&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Peugeot Partner Patagónica 1.6 115,3.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1362762307-liquido-ya-peugeot-208-active-manual-okm-2023-_JM#position=6&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Peugeot 208 1.6l Active Pack,1.800.000
0km,https://auto.mercadolibre.com.ar/MLA-1362761641-liquido-ya-208-active-caja-manual-okm-2023-_JM#position=7&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Peugeot 208 1.6l Active Pack,1.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1366536766-kangoo-stepway-15-okm-2023-oferta-efectivo-stock-ultima-mf-_JM#position=8&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Renault Kangoo Stepway 1.5 Dci,12.231.000
0km,https://auto.mercadolibre.com.ar/MLA-1378730981-volkswagen-amarok-trendline-4x4-al-okm-_JM#position=9&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 2.0 Cs Tdi 140cv Trendline 4x4,13.950.000
0km,https://auto.mercadolibre.com.ar/MLA-1330708567-volkswagen-amarok-v6-highline-258cv-4x4-at-okm-entrega-rt-a1-_JM#position=10&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 3.0 V6 Cd Highline,23.800.000
0km,https://auto.mercadolibre.com.ar/MLA-1317424554-volkswagen-amarok-v6-highline-258cv-4x4-at-okm-rt-a1-_JM#position=11&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 3.0 V6 Cd Highline,23.800.000
0km,https://auto.mercadolibre.com.ar/MLA-1317442696-volkswagen-amarok-v6-extreme-258cv-okm-entrega-inm-rt-a1-_JM#position=12&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 3.0 V6 Extreme,26.800.000
0km,https://auto.mercadolibre.com.ar/MLA-1317455525-volkswagen-amarok-trendline-140cv-4x2-manual-okm-rt-a1-_JM#position=13&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline Llantas16,12.600.000
0km,https://auto.mercadolibre.com.ar/MLA-1375927733-volkswagen-amarok-highkline-4x4-20-manual-al-okm-en-agencia-_JM#position=14&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack,21.000.000
0km,https://auto.mercadolibre.com.ar/MLA-1375927685-volkswagen-taos-confortline-linea-23-al-okm-_JM#position=15&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Taos 1.4 250 Tsi Comfortline,17.900.000
0km,https://auto.mercadolibre.com.ar/MLA-1455073228-volkswagen-amarok-highline-4x4-automatica-20-180-cv-al-okm-_JM#position=16&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Ultimate At,22.850.000
0km,https://auto.mercadolibre.com.ar/MLA-1454959970-volkswagen-amarok-trendline-4x2-al-okm-_JM#position=17&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline,12.750.000
0km,https://auto.mercadolibre.com.ar/MLA-1455073188-volkswagen-amarok-extreme-v6-258-cv-al-okm-en-agencia-_JM#position=18&search_layout=grid&type=item&tracking_id=2b5b149e-90ed-4eab-bca7-65382557bdbc,Volkswagen Amarok 3.0 V6 Extreme,24.850.000
