indice_tiempo,region_destino,turistas
2020-04-01,Cuyo,11365
2020-04-01,Litoral,23832
2020-04-01,Norte,65432
2020-04-01,Patagonia,3349
2020-04-01,PBA - Partidos del GBA,882
2020-04-01,PBA - Resto,29910
2020-07-01,CABA,14280
2020-07-01,Córdoba,28002
2020-07-01,Cuyo,53301
2020-07-01,Litoral,133019
2020-07-01,Norte,95311
2020-07-01,Patagonia,19230
2020-07-01,PBA - Partidos del GBA,48442
2020-07-01,PBA - Resto,268778
2020-10-01,CABA,42751
2020-10-01,Córdoba,343394
2020-10-01,Cuyo,117930
2020-10-01,Litoral,493984
2020-10-01,Norte,219722
2020-10-01,Patagonia,191778
2020-10-01,PBA - Partidos del GBA,89947
2020-10-01,PBA - Resto,1172936
2021-01-01,CABA,79967
2021-01-01,Córdoba,906967
2021-01-01,Cuyo,403674
2021-01-01,Litoral,918196
2021-01-01,Norte,525546
2021-01-01,Patagonia,502489
2021-01-01,PBA - Partidos del GBA,65116
2021-01-01,PBA - Resto,2828646
2021-04-01,CABA,18650
2021-04-01,Córdoba,247657
2021-04-01,Cuyo,183620
2021-04-01,Litoral,595290
2021-04-01,Norte,287839
2021-04-01,Patagonia,216283
2021-04-01,PBA - Partidos del GBA,79956
2021-04-01,PBA - Resto,619698
2021-07-01,CABA,222240
2021-07-01,Córdoba,417278
2021-07-01,Cuyo,281440
2021-07-01,Litoral,781975
2021-07-01,Norte,541066
2021-07-01,Patagonia,425558
2021-07-01,PBA - Partidos del GBA,77174
2021-07-01,PBA - Resto,1339888
2021-10-01,CABA,99048
2021-10-01,Córdoba,671140
2021-10-01,Cuyo,462831
2021-10-01,Litoral,918376
2021-10-01,Norte,649545
2021-10-01,Patagonia,516201
2021-10-01,PBA - Partidos del GBA,78156
2021-10-01,PBA - Resto,1955960
2022-01-01,CABA,90982
2022-01-01,Córdoba,1367246
2022-01-01,Cuyo,873795
2022-01-01,Litoral,1604217
2022-01-01,Norte,1011309
2022-01-01,Patagonia,1380521
2022-01-01,PBA - Partidos del GBA,181087
2022-01-01,PBA - Resto,5879239
2022-04-01,CABA,180425
2022-04-01,Córdoba,699919
2022-04-01,Cuyo,464161
2022-04-01,Litoral,777669
2022-04-01,Norte,686864
2022-04-01,Patagonia,391256
2022-04-01,PBA - Partidos del GBA,190029
2022-04-01,PBA - Resto,1992590
2022-07-01,CABA,239915
2022-07-01,Córdoba,744806
2022-07-01,Cuyo,559127
2022-07-01,Litoral,1117003
2022-07-01,Norte,1024098
2022-07-01,Patagonia,477278
2022-07-01,PBA - Partidos del GBA,108457
2022-07-01,PBA - Resto,1855616
2022-10-01,CABA,403423
2022-10-01,Córdoba,1180999
2022-10-01,Cuyo,476674
2022-10-01,Litoral,1243663
2022-10-01,Norte,766712
2022-10-01,Patagonia,445389
2022-10-01,PBA - Partidos del GBA,947119
2022-10-01,PBA - Resto,1685679
2023-01-01,CABA,102253
2023-01-01,Córdoba,1361238
2023-01-01,Cuyo,505766
2023-01-01,Litoral,1829767
2023-01-01,Norte,942596
2023-01-01,Patagonia,1004465
2023-01-01,PBA - Partidos del GBA,163447
2023-01-01,PBA - Resto,5210294
