type,link_web,modelo,precio,marca,anio,version,color,combustible,puertas,transmision,motor,vehiculo
usado,https://auto.mercadolibre.com.ar/MLA-1491218976-ford-focus-iii-20-sedan-se-plus-at6-automatico-usados-_JM#position=48&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Ford Focus Iii 2.0 Sedan Se Plus At6,12.000,Ford,2016,2.0 Sedan Se Plus At6,Gris,Nafta,4,Automática,2.0,Sedán
usado,https://auto.mercadolibre.com.ar/MLA-1483698660-audi-q3-35-tfsi-sportback-2020-2021-2022-0km-usada-strnic-_JM#position=1&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Audi Q3 Sportback 1.4 35tfsi Sportback 150 Cv,49.500,Audi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1447244038-jeep-compass-longitude-tusados-gs-_JM#position=2&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Jeep Compass 1.3 T270 Longitude Plus At6,24.990.000,Jeep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1376259509-volkswagen-gol-trend-trendline-16-darc-autos-usados-_JM#position=3&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Volkswagen Gol Trend 1.6 Trendline 101cv,7.700.000,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1466892844-audi-a1-sportback-usado-2018-14-tfsi-stronic-125cv-_JM#position=4&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Audi A1 Sportback 1.4 Tfsi Stronic 125cv,23.800,Audi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1443489734-toyota-corolla-xei-pack-18-2015-concesionario-oficial-lp-_JM#position=5&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Toyota Corolla 1.8 Xli Mt 140cv,8.250.000,Toyota,2015,1.8 Xli Mt 140cv,Gris,Nafta,4,Manual,1.8,Sedán
usado,https://auto.mercadolibre.com.ar/MLA-1466805074-volkswagen-amarok-usada-30-v6-extreme-2018-_JM#position=6&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Volkswagen Amarok 3.0 V6 Extreme,30.000,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1489683434-chevrolet-cruze-ltz-14-at-darc-usados-_JM#position=7&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Cruze 1.4 Ltz At Sedan,8.268.500,Chevrolet,2018,1.4 Ltz At Sedan,Rojo,Nafta,4,Automática,1.4,Sedán
usado,https://auto.mercadolibre.com.ar/MLA-1491207150-peugeot-308-16-hdi-allure-2016-concesionario-oficial-lp-_JM#position=8&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Peugeot 308 1.6 Allure Hdi 115cv,6.650.000,Peugeot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1383391789-citroen-c4-lounge-thp-16-tendance-2014-conacesionario-_JM#position=9&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Citroën C4 Lounge 1.6 Tendance At6 Thp 163cv,5.150.000,Citroën,2014,1.6 Tendance At6 Thp 163cv,Gris,Nafta,4,Automática,1.6,Sedán
usado,https://auto.mercadolibre.com.ar/MLA-1381802473-chevrolet-tracker-18-ltz-at-2016-awd-4x4-concesionario-lp-_JM#position=10&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,10.600.000,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1380526361-fiat-toro-volcano-4x4-at-sendai-usados-_JM#position=11&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Fiat Toro 2.0 Volcano 4x4 At,11.500.000,Fiat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1380586175-jeep-compass-sport-24l-sendai-usados-_JM#position=12&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Jeep Compass 2.4 Sport 170cv Atx,6.000.000,Jeep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1380238203-suzuki-fun-5-puertas-14-ac-dh-ll-_JM#position=13&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Suzuki Fun 1.4 N Aa Da,2.921.000,Suzuki,2008,1.4 N Aa Da,Plateado,Nafta,3,Manual,1.4,Hatchback
usado,https://auto.mercadolibre.com.ar/MLA-1376831945-renault-alaskan-emotion-4x2-sendai-usados-_JM#position=14&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Renault Alaskan 2.3 Bit 16v Emotion Mt 4x2,12.500.000,Renault,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1383903797-chevrolet-cobalt-18-ltz-nafta-manual-4-puertas-2016-vl-_JM#position=15&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Cobalt 1.8 Ltz Mt,5.237.750,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
